City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date 
tanout,14.97,8.89,95.18,10,28,8.99,NE,1592773402
adrar,20.5,-10.07,103.44,9,38,13.51,MR,1592773326
calama,-22.47,-68.93,69.8,7,0,20.8,CL,1592773512
kashan,33.98,51.44,82.6,15,0,6.76,IR,1592773526
saint george,37.1,-113.58,100.0,11,1,5.82,US,1592773560
flagstaff,35.2,-111.65,88.0,13,1,6.93,US,1592773383
araouane,18.9,-3.53,101.19,8,0,4.99,ML,1592773712
agadez,19.75,10.25,85.21,12,0,1.92,NE,1592773768
ravar,31.27,56.81,85.8,12,0,9.01,IR,1592773865
umm kaddadah,13.6,26.69,92.55,11,0,4.74,SD,1592773903
bilma,18.69,12.92,89.13,12,0,5.84,NE,1592773937
taoudenni,22.68,-3.98,105.15,8,27,12.57,ML,1592773869
